Pokedex_number,Name,Abilities,Against_normal,Against_fire,Against_water,Against_electric,Against_grass,Against_ice,Against_fighting,Against_poison,Against_ground,Against_flying,Against_psychic,Against_bug,Against_rock,Against_ghost,Against_dragon,Against_dark,Against_steel,Against_fairy,Against_All Concat,Type_1,Type_2,Base_total,HP,Attack,Defense,Sp_attack,Sp_defense,Speed,Height_m,Weight_kg,Capture_rate,Generation
235,Smeargle,"Own Tempo, Technician, Moody",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,"1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1",normal,,250,55,20,35,20,45,75,1.2,58,45,2
236,Tyrogue,"Guts, Steadfast, Vital Spirit",1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,"1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2",fighting,,210,35,35,35,35,35,35,0.7,21,75,2
237,Hitmontop,"Intimidate, Technician, Steadfast",1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,"1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2",fighting,,455,50,95,95,35,110,70,1.4,48,45,2
238,Smoochum,"Oblivious, Forewarn, Hydration",1,2,1,1,1,0.5,1,1,1,1,0.5,2,2,2,1,2,2,1,"1,2,1,1,1,0.5,1,1,1,1,0.5,2,2,2,1,2,2,1",ice,psychic,305,45,30,15,85,65,65,0.4,6,45,2
239,Elekid,"Static, Vital Spirit",1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,"1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1",electric,,360,45,63,37,65,55,95,0.6,23.5,45,2
240,Magby,"Flame Body, Vital Spirit",1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,"1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5",fire,,365,45,75,37,70,55,83,0.7,21.4,45,2
241,Miltank,"Thick Fat, Scrappy, Sap Sipper",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,"1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1",normal,,490,95,80,105,40,70,100,1.2,75.5,45,2
242,Blissey,"Natural Cure, Serene Grace, Healer",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,"1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1",normal,,540,255,10,10,75,135,55,1.5,46.8,30,2
243,Raikou,"Pressure, Inner Focus",1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,"1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1",electric,,580,90,85,75,115,100,115,1.9,178,3,2
244,Entei,"Pressure, Inner Focus",1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,"1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5",fire,,580,115,115,85,90,75,100,2.1,198,3,2
245,Suicune,"Pressure, Inner Focus",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,"1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1",water,,580,100,75,115,90,115,85,2,187,3,2
246,Larvitar,"Guts, Sand Veil",0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1,"0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1",rock,ground,300,50,64,50,45,50,41,0.6,72,45,2
247,Pupitar,Shed Skin,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1,"0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1",rock,ground,410,70,84,70,65,70,51,1.2,152,45,2
248,Tyranitar,"Sand Stream, Unnerve",0.5,0.5,2,1,2,1,4,0.5,2,0.5,0,2,1,0.5,1,0.5,2,2,"0.5,0.5,2,1,2,1,4,0.5,2,0.5,0,2,1,0.5,1,0.5,2,2",rock,dark,600,100,134,110,95,100,61,2,202,45,2
248,Mega Tyranitar,Sand Stream,0.5,0.5,2,1,2,1,4,0.5,2,0.5,0,2,1,0.5,1,0.5,2,2,"0.5,0.5,2,1,2,1,4,0.5,2,0.5,0,2,1,0.5,1,0.5,2,2",rock,dark,700,100,164,150,95,120,71,2.5,255,45,6
249,Lugia,"Pressure, Multiscale",1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,1,"1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,1",psychic,flying,680,106,90,130,90,154,110,5.2,216,3,2
250,Ho-Oh,"Pressure, Regenerator",1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5,"1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5",fire,flying,680,106,130,90,110,154,90,3.8,199,3,2
251,Celebi,Natural Cure,1,2,0.5,0.5,0.5,2,0.5,2,0.5,2,0.5,4,1,2,1,2,1,1,"1,2,0.5,0.5,0.5,2,0.5,2,0.5,2,0.5,4,1,2,1,2,1,1",psychic,grass,600,100,100,100,100,100,100,0.6,5,45,2
252,Treecko,"Overgrow, Unburden",1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,"1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1",grass,,310,40,45,35,65,55,70,0.5,5,45,3
253,Grovyle,"Overgrow, Unburden",1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,"1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1",grass,,405,50,65,45,85,65,95,0.9,21.6,45,3
254,Sceptile,"Overgrow, Unburden",1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,"1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1",grass,,530,70,85,65,105,85,120,1.7,52.2,45,3
254,Mega Sceptile,Lightning Rod,1,1,0.25,0,0.25,4,1,2,0.5,2,1,2,1,1,2,1,1,2,"1,1,0.25,0,0.25,4,1,2,0.5,2,1,2,1,1,2,1,1,2",grass,dragon,630,70,110,75,145,85,145,1.9,55.2,45,6
255,Torchic,"Blaze, Speed Boost",1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,"1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5",fire,,310,45,60,40,70,50,45,0.4,2.5,45,3
256,Combusken,"Blaze, Speed Boost",1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1,"1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1",fire,fighting,405,60,85,60,85,60,55,0.9,19.5,45,3
257,Blaziken,"Blaze, Speed Boost",1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1,"1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1",fire,fighting,530,80,120,70,110,70,80,1.9,52,45,3
257,Mega Blaziken,Speed Boost,1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1,"1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1",fire,fighting,630,80,160,80,130,80,100,1.9,52,45,6
258,Mudkip,"Torrent, Damp",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,"1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1",water,,310,50,70,50,50,50,40,0.4,7.6,45,3
259,Marshtomp,"Torrent, Damp",1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,"1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1",water,ground,405,70,85,70,60,70,50,0.7,28,45,3
260,Swampert,"Torrent, Damp",1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,"1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1",water,ground,535,100,110,90,85,90,60,1.5,81.9,45,3
260,Mega Swampert,Swift Swim,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,"1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1",water,ground,635,100,150,110,95,110,70,1.9,102,45,6
261,Poochyena,"Run Away, Quick Feet, Rattled",1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2,"1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2",dark,,220,35,55,35,30,30,35,0.5,13.6,255,3
262,Mightyena,"Intimidate, Quick Feet, Moxie",1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2,"1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2",dark,,420,70,90,70,60,60,70,1,37,127,3
263,Zigzagoon,"Pickup, Gluttony, Quick Feet",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,"1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1",normal,,240,38,30,41,30,41,60,0.4,17.5,255,3
263,Galarian Zigzagoon,"Pickup, Gluttony, Quick Feet",1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2,"1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2",dark,normal,240,38,30,41,30,41,60,0.4,17.5,255,8
264,Linoone,"Pickup, Gluttony, Quick Feet",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,"1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1",normal,,420,78,70,61,50,61,100,0.5,32.5,90,3
264,Galarian Linoone,"Pickup, Gluttony, Quick Feet",1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2,"1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2",dark,normal,420,78,70,61,50,61,100,0.5,32.5,90,8
265,Wurmple,"Shield Dust, Run Away",1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,"1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1",bug,,195,45,45,35,20,30,20,0.3,3.6,255,3
266,Silcoon,Shed Skin,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,"1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1",bug,,205,50,35,55,25,25,15,0.6,10,120,3
267,Beautifly,"Swarm, Rivalry",1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,"1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1",bug,flying,395,60,70,50,100,50,65,1,28.4,45,3
268,Cascoon,Shed Skin,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,"1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1",bug,,205,50,35,55,25,25,15,0.7,11.5,120,3
269,Dustox,"Shield Dust, Compoundeyes",1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,"1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5",bug,poison,385,60,50,70,50,90,65,1.2,31.6,45,3
270,Lotad,"Swift Swim, Rain Dish, Own Tempo",1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,1,"1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,1",water,grass,220,40,30,30,40,50,30,0.5,2.6,255,3
271,Lombre,"Swift Swim, Rain Dish, Own Tempo",1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,1,"1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,1",water,grass,340,60,50,50,60,70,50,1.2,32.5,120,3
272,Ludicolo,"Swift Swim, Rain Dish, Own Tempo",1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,1,"1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,1",water,grass,480,80,70,70,90,100,70,1.5,55,45,3
273,Seedot,"Chlorophyll, Early Bird, Pickpocket",1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,"1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1",grass,,220,40,40,50,30,30,30,0.5,4,255,3
274,Nuzleaf,"Chlorophyll, Early Bird, Pickpocket",1,2,0.5,0.5,0.5,2,2,2,0.5,2,0,4,1,0.5,1,0.5,1,2,"1,2,0.5,0.5,0.5,2,2,2,0.5,2,0,4,1,0.5,1,0.5,1,2",grass,dark,340,70,70,40,60,40,60,1,28,120,3
275,Shiftry,"Chlorophyll, Early Bird, Pickpocket",1,2,0.5,0.5,0.5,2,2,2,0.5,2,0,4,1,0.5,1,0.5,1,2,"1,2,0.5,0.5,0.5,2,2,2,0.5,2,0,4,1,0.5,1,0.5,1,2",grass,dark,480,90,100,60,90,60,80,1.3,59.6,45,3
276,Taillow,"Guts, Scrappy",1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,"1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1",normal,flying,270,40,55,30,30,30,85,0.3,2.3,200,3
277,Swellow,"Guts, Scrappy",1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,"1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1",normal,flying,455,60,85,60,75,50,125,0.7,19.8,45,3
278,Wingull,"Keen Eye, Hydration, Rain Dish",1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1,"1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1",water,flying,270,40,30,30,55,30,85,0.6,9.5,190,3
279,Pelipper,"Keen Eye, Drizzle, Rain Dish",1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1,"1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1",water,flying,440,60,50,100,95,70,65,1.2,28,45,3
280,Ralts,"Synchronize, Trace, Telepathy",1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1,"1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1",psychic,fairy,198,28,25,25,45,35,40,0.4,6.6,235,3
281,Kirlia,"Synchronize, Trace, Telepathy",1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1,"1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1",psychic,fairy,278,38,35,35,65,55,50,0.8,20.2,120,3
282,Gardevoir,"Synchronize, Trace, Telepathy",1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1,"1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1",psychic,fairy,518,68,65,65,125,115,80,1.6,48.4,45,3
282,Mega Gardevoir,Pixilate,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1,"1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1",psychic,fairy,618,68,85,65,165,135,100,1.6,48.4,45,6
283,Surskit,"Swift Swim, Rain Dish",1,1,0.5,2,1,0.5,0.5,1,0.5,2,1,1,2,1,1,1,0.5,1,"1,1,0.5,2,1,0.5,0.5,1,0.5,2,1,1,2,1,1,1,0.5,1",bug,water,269,40,30,32,50,52,65,0.5,1.7,200,3
284,Masquerain,"Intimidate, Unnerve",1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,"1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1",bug,flying,454,70,60,62,100,82,80,0.8,3.6,75,3
285,Shroomish,"Effect Spore, Poison Heal, Quick Feet",1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,"1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1",grass,,295,60,40,60,40,60,35,0.4,4.5,255,3
286,Breloom,"Effect Spore, Poison Heal, Technician",1,2,0.5,0.5,0.5,2,1,2,0.5,4,2,1,0.5,1,1,0.5,1,2,"1,2,0.5,0.5,0.5,2,1,2,0.5,4,2,1,0.5,1,1,0.5,1,2",grass,fighting,460,60,130,80,60,60,70,1.2,39.2,90,3
287,Slakoth,Truant,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,"1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1",normal,,280,60,60,60,35,35,30,0.8,24,255,3
288,Vigoroth,Vital Spirit,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,"1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1",normal,,440,80,80,80,55,55,90,1.4,46.5,120,3
289,Slaking,Truant,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,"1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1",normal,,670,150,160,100,95,65,100,2,130.5,45,3
290,Nincada,"Compoundeyes, Run Away",1,2,2,0,1,2,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1,"1,2,2,0,1,2,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1",bug,ground,266,31,45,90,30,30,40,0.5,5.5,255,3
291,Ninjask,"Speed Boost, Infiltrator",1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,"1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1",bug,flying,456,61,90,45,50,50,160,0.8,12,120,3
292,Shedinja,Wonder Guard,0,2,1,1,0.5,1,0,0.5,0.5,2,1,0.5,2,2,1,2,1,1,"0,2,1,1,0.5,1,0,0.5,0.5,2,1,0.5,2,2,1,2,1,1",bug,ghost,236,1,90,45,30,30,40,0.8,1.2,45,3
293,Whismur,"Soundproof, Rattled",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,"1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1",normal,,240,64,51,23,51,23,28,0.6,16.3,190,3
294,Loudred,"Soundproof, Scrappy",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,"1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1",normal,,360,84,71,43,71,43,48,1,40.5,120,3
295,Exploud,"Soundproof, Scrappy",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,"1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1",normal,,490,104,91,63,91,73,68,1.5,84,45,3
296,Makuhita,"Thick Fat, Guts, Sheer Force",1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,"1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2",fighting,,237,72,60,30,20,30,25,1,86.4,180,3
297,Hariyama,"Thick Fat, Guts, Sheer Force",1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,"1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2",fighting,,474,144,120,60,40,60,50,2.3,253.8,200,3
298,Azurill,"Thick Fat, Huge Power, Sap Sipper",1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1,"1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1",normal,fairy,190,50,20,40,20,40,20,0.2,2,150,3
299,Nosepass,"Sturdy, Magnet Pull, Sand Force",0.5,0.5,2,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,1,"0.5,0.5,2,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,1",rock,,375,30,45,135,45,90,30,1,97,255,3
300,Skitty,"Cute Charm, Normalize, Wonder Skin ",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,"1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1",normal,,260,50,45,45,35,35,50,0.6,11,255,3
301,Delcatty,"Cute Charm, Normalize, Wonder Skin ",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,"1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1",normal,,400,70,65,65,55,55,90,1.1,32.6,60,3
302,Sableye,"Keen Eye, Stall, Prankster",0,1,1,1,1,1,0,0.5,1,1,0,1,1,1,1,1,1,2,"0,1,1,1,1,1,0,0.5,1,1,0,1,1,1,1,1,1,2",dark,ghost,380,50,75,75,65,65,50,0.5,11,45,3
302,Mega Sableye,Magic Bounce,0,1,1,1,1,1,0,0.5,1,1,0,1,1,1,1,1,1,2,"0,1,1,1,1,1,0,0.5,1,1,0,1,1,1,1,1,1,2",dark,ghost,480,50,85,125,85,115,20,0.5,161,45,6
303,Mawile,"Hyper Cutter, Intimidate, Sheer Force",0.5,2,1,1,0.5,0.5,1,0,2,0.5,0.5,0.25,0.5,1,0,0.5,1,0.5,"0.5,2,1,1,0.5,0.5,1,0,2,0.5,0.5,0.25,0.5,1,0,0.5,1,0.5",steel,fairy,380,50,85,85,55,55,50,0.6,11.5,45,3
303,Mega Mawile,Huge Power,0.5,2,1,1,0.5,0.5,1,0,2,0.5,0.5,0.25,0.5,1,0,0.5,1,0.5,"0.5,2,1,1,0.5,0.5,1,0,2,0.5,0.5,0.25,0.5,1,0,0.5,1,0.5",steel,fairy,480,50,105,125,55,95,50,1,23.5,45,6
304,Aron,"Sturdy, Rock Head, Heavy Metal",0.25,1,2,1,1,0.5,4,0,4,0.25,0.5,0.5,0.5,1,0.5,1,1,0.5,"0.25,1,2,1,1,0.5,4,0,4,0.25,0.5,0.5,0.5,1,0.5,1,1,0.5",steel,rock,330,50,70,100,40,40,30,0.4,60,180,3
305,Lairon,"Sturdy, Rock Head, Heavy Metal",0.25,1,2,1,1,0.5,4,0,4,0.25,0.5,0.5,0.5,1,0.5,1,1,0.5,"0.25,1,2,1,1,0.5,4,0,4,0.25,0.5,0.5,0.5,1,0.5,1,1,0.5",steel,rock,430,60,90,140,50,50,40,0.9,120,90,3
306,Aggron,"Sturdy, Rock Head, Heavy Metal",0.25,1,2,1,1,0.5,4,0,4,0.25,0.5,0.5,0.5,1,0.5,1,1,0.5,"0.25,1,2,1,1,0.5,4,0,4,0.25,0.5,0.5,0.5,1,0.5,1,1,0.5",steel,rock,530,70,110,180,60,60,50,2.1,360,45,3
306,Mega Aggron,Filter,0.5,1.5,1,1,0.5,0.5,1.5,0,1.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5,"0.5,1.5,1,1,0.5,0.5,1.5,0,1.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5",steel,,630,70,140,230,60,80,50,2.2,395,45,6
307,Meditite,"Pure Power, Telepathy",1,1,1,1,1,1,0.5,1,1,2,1,1,0.5,2,1,1,1,2,"1,1,1,1,1,1,0.5,1,1,2,1,1,0.5,2,1,1,1,2",fighting,psychic,280,30,40,55,40,55,60,0.6,11.2,180,3
308,Medicham,"Pure Power, Telepathy",1,1,1,1,1,1,0.5,1,1,2,1,1,0.5,2,1,1,1,2,"1,1,1,1,1,1,0.5,1,1,2,1,1,0.5,2,1,1,1,2",fighting,psychic,410,60,60,75,60,75,80,1.3,31.5,90,3
308,Mega Medicham,Pure Power,1,1,1,1,1,1,0.5,1,1,2,1,1,0.5,2,1,1,1,2,"1,1,1,1,1,1,0.5,1,1,2,1,1,0.5,2,1,1,1,2",fighting,psychic,510,60,100,85,80,85,100,1.3,31.5,90,6
309,Electrike,"Static, Lightningrod, Minus",1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,"1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1",electric,,295,40,45,40,65,40,65,0.6,15.2,120,3
310,Manectric,"Static, Lightningrod, Minus",1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,"1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1",electric,,475,70,75,60,105,60,105,1.5,40.2,45,3
310,Mega Manectric,Intimidate,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,"1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1",electric,,575,70,75,80,135,80,135,1.8,44,45,6
311,Plusle,"Plus, Lightningrod",1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,"1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1",electric,,405,60,50,40,85,75,95,0.4,4.2,200,3
312,Minun,"Minus, Volt Absorb",1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,"1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1",electric,,405,60,40,50,75,85,95,0.4,4.2,200,3
313,Volbeat,"Illuminate, Swarm, Prankster",1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,"1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1",bug,,430,65,73,75,47,85,85,0.7,17.7,150,3
314,Illumise,"Oblivious, Tinted Lens, Prankster",1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,"1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1",bug,,430,65,47,75,73,85,85,0.6,17.7,150,3
315,Roselia,"Natural Cure, Poison Point, Leaf Guard",1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,"1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5",grass,poison,400,50,60,45,100,80,65,0.3,2,150,3
316,Gulpin,"Liquid Ooze, Sticky Hold, Gluttony",1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,"1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5",poison,,302,70,43,53,43,53,40,0.4,10.3,225,3
317,Swalot,"Liquid Ooze, Sticky Hold, Gluttony",1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,"1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5",poison,,467,100,73,83,73,83,55,1.7,80,75,3
318,Carvanha,"Rough Skin, Speed Boost",1,0.5,0.5,2,2,0.5,2,1,1,1,0,2,1,0.5,1,0.5,0.5,2,"1,0.5,0.5,2,2,0.5,2,1,1,1,0,2,1,0.5,1,0.5,0.5,2",water,dark,305,45,90,20,65,20,65,0.8,20.8,225,3
319,Sharpedo,"Rough Skin, Speed Boost",1,0.5,0.5,2,2,0.5,2,1,1,1,0,2,1,0.5,1,0.5,0.5,2,"1,0.5,0.5,2,2,0.5,2,1,1,1,0,2,1,0.5,1,0.5,0.5,2",water,dark,460,70,120,40,95,40,95,1.8,88.8,60,3
319,Mega Sharpedo,Strong Jaw,1,0.5,0.5,2,2,0.5,2,1,1,1,0,2,1,0.5,1,0.5,0.5,2,"1,0.5,0.5,2,2,0.5,2,1,1,1,0,2,1,0.5,1,0.5,0.5,2",water,dark,560,70,140,70,110,65,105,2.5,130.3,60,6
